name,cb_description,id
InterResolve,"insurer, insurance, payment, compensation, agency",0
GladCloud,"platform, brand, large, asset, merchant, solution, infrastructure, trade, datum, product, learn, marketing, stakeholder",1
21GRAMS,"postal, document, print, postage, mailing",2
Geltor,"biodesign, nature, fermentation, biology, protein",3
21st.BIO,"bioproduction, molecule, bioindustrial",4
24SevenOffice,"web, ajax, file, integration, webex",5
Jiffy.ai,"digital, automate, integrate, robot, algorithm, automation, software",6
Gemfire,"planar, optical, innovative, company, operation, entrepreneurial, manufacturing, technology, specialty, processing, telecom, performance",7
Jobandtalent,"labor, worker, office, employment, staff, unemployment",8
Joost,"platform, tool, livestation, server, screen, program, desktop, catalog, widget, interactive, hardware, joost, programming, forum, browser, free, display, download, client, software",9
3TEMP-AB,"coffee, drip, brewer",10
4Subsea,"platform, digital, engineering, asset, production, company, farm, operator, operation, provider, technology, forefront, service, subsea, field, offshore, supplier, client, equipment",11
A3P-Biomedical,"prostate, genetic, protein",12
AAC-Microtec,"architecture, virtual, satellite, space, power, educational, development, governmental",13
Just-Eat,"vision, critical, quality, success, significant, consumer, new, market, variety, revenue, delivery, smart",14
JustPark,"peace, office, space, parking, car, hospital, hotel, authority, driveway, park, location",15
Absolicon-Solar-Concentrator,"concentrator, electricity, desalination, solar, photovoltaic, energy",16
Tracsis,"information, service, product, provision, technology, important, research, video, equipment, streamline, system, datum, coverage, flow, resource, comprehensive, use, pride, safe, report, project, transport, manual",17
Episode-1,"entrepreneur, business, industry, investment, company, marketplace, partnership, customer, product, invest, fund, sector, financing, growth, venture, market, revenue, client, portfolio",18
Acadia-Pharmaceuticals-Inc.,"indication, product, pimavanserin, commercialization, candidate, development, feasibility",19
Genius-Sports,"sport, federation, official, sporting, league",20
Accedo,"platform, range, distribution, high, multiple, number, world, solution, able, broadcaster, product, device, experience, cloud, compelling, continent, special, video, way, custom, freedom",21
Accelerace,"entrepreneur, company, partnership, fintech, initiative, startup, experience, partner, growth, mentor, market",22
Acconeer,"team, major, skilled, sensor, device, technology, generation, breakthrough, power, portable, strength, tech, mobile",23
Common-Room,"team, contribution, skill, order, high, action, work, time, message, user, support, cross, role, community",24
Accumulate,"merchant, voucher, solution, barcode, ticket, payment, transaction, gift, loyalty, card, coupon, signature, offering",25
Get-Heli,"broker, marketplace, margin, customer, charter, unstructured, provider, booking, service, consumer, market, lead, pricing",26
Acerta-Analytics,"control, rework, production, machine, product, quality, analysis, manufacturer, profit, failure, scrap, artificial",27
Activity-Stream,"business, system, opportunitie, organization, infrastructure, stakeholder",28
CruiseWise,"industry, ship, time, cruise, accident, booking, cabin, service, entertainment, partner, coast, construction, term, facility",29
