name,cb_description
InterResolve,"car, accident, injury"
GladCloud,"location, provide, brand, stakeholder, large, solution, customer, infrastructure, trade, machine, datum, asset, marketing"
13th-Lab,"platform, vision, device, lab, computer, mobile"
1928-Diagnostics,"crunch, provider, fight, digital, resistance, dna, datum, cloud, company"
1939-Games,"indie, base, development, studio"
2021.AI,"business, grow, oversight, management"
20nine,"local, brand, range, industry, category, national, marketing, regional, apply, global, gather"
21GRAMS,"postal, document, print, post, offer, set, postage"
Geltor,"protein, geltor"
Cloud-Sustainability,"platform, base, knowledge, deliver, change, software, way, training, cloud"
iSIZE-Technologies,"network, neural, deep, encoder, drive, video, data"
NPS,"polymer, develop, research, invent, laboratory, technology"
Iterable,"platform, optimize, customer, love, marketer, create, channel, experience"
Cyrus-Audio,"hi, fi, cyrus, audio"
24SevenOffice,"web, ajax, application, integrate"
2D-fab-AB,graphene
Utmost,"provide, vendor, system, workday, management"
Jiffy.ai,"ai, platform, digital, modern, power, day, software, intelligent, enterprise, company"
eleXsys-Energy,"cleantech, company"
Gemfire,"entrepreneurial, technology"
Jobandtalent,"labor, demand, staff, hire, unemployment, market, jobandtalent, mission, world, company, marketplace"
360-Logistics,"store, supplier, total, online"
3rd-Eye-Studios,"movie, tv, veteran, groundbreake, collection, atmospheric, game"
Joost,"founder, attempt, undertaking, janus, perfect, joost, major, friis, organization"
NAVENTIK-GmbH,"automobile, market, high, software, develop, solution"
3TEMP-AB,"sell, coffee, ab, high, segment"
42Networks,"voip, embed"
46elks,"platform, tool, infrastructure, developer, grow, application, integrate"
4Subsea,"farm, offshore, operator, help, provider, service, subsea, field, technology"
A2O,"insect, climate, friendly, concept"
