,id,name,cb_description,industry
0,1820,0xKYC,modular knowledge system identity credential management reimagine create knowledge proof zkps prove ofac sanction year age know fraud wallet list,cloud infrastructure
1,3640,10X-Genomics,genomic create revolutionary dna sequence technology help researcher well identify subtle variation overlook technology shre biological sample tiny fragment sequence short stretch computer assemble genome,genomics
2,9594,111Skin,commit positive luxury skincare push boundary technological change establish sustainable philanthropic female lead future skincare addition source ethical material cut edge ingredient,social impact
3,473,1stdibs,internet company offer marketplace rare desirable object furniture fashion fine art jewelry feature online base platform connect respected dealer maker sophisticated collector share pursuit beautiful design,developer tools
4,7956,1v1Me,application allow user play match favorite video game cash community meet play member company found base new york,developer tools
5,9457,21sportsgroup,online sport good retailer offer selection running shoe bicycle apparel accessory amateur athlete runner cyclist triathlete right professional athlete market range sporting good mainly area outdoor action run cycling triathlon sport combine e commerce retail business reduce gap online offline retail service product company available immediate shipping found jrg mayer based mannheim baden wurttemberg,data centers
6,917,24Symbols,solution read digital book read device internet connection allow read read device internet conection ereader smartphone ipad laptop,cloud infrastructure
7,5470,2GIS,international technology company develop service comfortable life city mission help people live city expensive company russian internet accord forbes main product company city information service bring map navigator business directory monthly active user service cover city country available free mobile application io android,developer tools
8,5958,352-Medical-Group,local organisation trust healthcare professional clinic hospital provide excellence choice diagnosis education treatment health need mission world class provider healthcare solution put patient forefront aim group preferred choice patient healthcare professional,sport & wellness
9,4004,365-Response,response unique software service organisation different create solution directly respond specific challenge collaborate client multiple sector understand detailed requirement identify gap accordingly implement solution response team unique combination fast pace innovative approach establish system unparalleled industry experience proud solution help client achieve improved service level significant cost saving,cloud infrastructure
10,5635,365Scores,cross platform application enable user create personalized sport channel individual live score news form media channel video highlight statistic fixture standing tweet cover major sport platform available language,developer tools
11,4797,3Box,storage simple secure private design app store data user lighter trustworthy enjoy reduce datum management liability,cloud infrastructure
12,8364,3D-Robotics,make advanced drone technology easily accessible construction mining surveying industry use datum analysis help user land mapping site scan service collect accurate aerial datum jobsite turn urn drone photo map model point cloud provide comprehensive onboarde ongoing support enable client batter informed decision relate construction site found headquartered berkeley california,developer tools
13,3918,3sun-Group,limited subsidiary provide hydraulic control instrumentation product service oil gas sector worldwide furthermore offer skilled technician installation servicing wind turbine offshore application onsite testing inspection service oil gas renewable asset technical vocational training service united kingdom europe limited found base great yarmouth united kingdom,industrial iot
14,1767,40-Partners-Ltd,produce talent broadcaster brand short form feature length studio go bit different hopefully game changer talent stay touch course year,connected life
15,1351,42Lab,modular portable affordable biotech laboratory student science technology engineering mathematic stem education require oecd country school struggle introduce biotechnology student high equipment cost troublesome experiment preparation solve problem provide portable modular biotech equipment student conduct experiment companion app serve electronic manual student management tool teacher vision bring biotech experience student like raspberry pi computer science,developer tools
16,8307,4-Antibody-AG,antibody ag develop human antibody drug discovery platform generate antibody therapeutic focus immuno oncology technology platform retrocyte display design generate therapeutic antibody drug candidate incorporate human antibody library express mammalian b lineage lymphocyte company develop preclinical checkpoint antibody program target gitr antibody ag found base basel switzerland,industrial iot
17,6524,5Mins,s gamified learn platform design help employee improve skill curate short form video content lead creator world make available team business adaptive gamifie learn engine,developer tools
18,1504,7bridges,smart logistic platform deliver visibility control logistic process unify data operation enable access global supplier ecosystem world class sustainable logistic operation rapidly achievable reality platform realize future proof sustainable logistic scalable competitive profit growth drive edge,cloud infrastructure
19,4084,7digital,global leader end end digital music solution core business provision robust scalable technical infrastructure extensive global music right create music streaming radio service diverse range customer include consumer brand mobile carrier broadcaster automotive system record label retailer offer radio production music curation service editorial strategy content management expertise,cloud infrastructure
20,432,7TM-Pharma,pharma biotech company discover develop drug primary therapeutic focus diabetes gastrointestinal metabolic asthma vascular disease company offer transmembrane span receptor include small molecule receptor antagonist npy selective agonist gastrointestinal disorder short bowel syndrome antagonist oral drug inflammatory respiratory disease pharma found base lyngby hovedstaden,industrial iot
21,3403,8fit,app help build healthy habit life simple solution support user worldwide individual journey healthier happy life push progress perfection choose good solution quick fix enjoy journey healthiest mind body understand obstacle people face fitness journey not easy s size fit way find lifelong health s building engage approachable way people achieve personal fitness goal,connected life
22,28,8tracks-Radio,internet radio social network streams user curate song playlist contain track handcraft internet radio network social alternative pandora listener tune online mixtape track curate people know love music stream legal radio style manner,developer tools
23,1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient,industrial iot
24,5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform smb finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil,cloud infrastructure
25,258,Abacus.AI,abacus ai artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base san francisco california,cloud infrastructure
26,3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience,cloud infrastructure
27,6113,ABA-English,aba english lead digital academy english learning student worldwide headquartered barcelona talented team compose professional country aba english stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently aba english recognize good educational app reimagine education award feature apple google educational app,developer tools
28,10663,ABAX,abax developer supplier car logbook car tracker system fleet control software equipment control technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty,sales & crm
29,6511,Abcodia,abcodia biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnerships ucl technology platform provider lead commercial diagnostic company abcodia able support end end diagnostic development process abcodia found base cambridge uk,climate tech/cleantech
30,9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base pakistan,developer tools
