,id,name,cb_description,industry1,score1,industry2,score2,industry3,score3
0,1820,0xKYC,modular knowledge system identity credential management reimagine create knowledge proof zkps prove ofac sanction year age know fraud wallet list,Web3,0.853,InsurTech,0.844,DeFi,0.835
1,3640,10X-Genomics,genomic create revolutionary dna sequence technology help researcher well identify subtle variation overlook technology shre biological sample tiny fragment sequence short stretch computer assemble genome,Genomics,0.878,Longevity,0.83,BioTech,0.816
2,9594,111Skin,commit positive luxury skincare push boundary technological change establish sustainable philanthropic female lead future skincare addition source ethical material cut edge ingredient,Social Impact,0.834,Fashion,0.828,Circular Economy,0.802
3,473,1stdibs,internet company offer marketplace rare desirable object furniture fashion fine art jewelry feature online base platform connect respected dealer maker sophisticated collector share pursuit beautiful design,Creator Economy,0.87,Fashion,0.84,E-commerce,0.838
4,7956,1v1Me,application allow user play match favorite video game cash community meet play member company found base new york,Creator Economy,0.858,Esports,0.842,Social Networks,0.827
5,9457,21sportsgroup,online sport good retailer offer selection running shoe bicycle apparel accessory amateur athlete runner cyclist triathlete right professional athlete market range sporting good mainly area outdoor action run cycling triathlon sport combine e commerce retail business reduce gap online offline retail service product company available immediate shipping found jrg mayer based mannheim baden wurttemberg,Retail,0.78,E-commerce,0.763,Mobile,0.76
6,917,24Symbols,solution read digital book read device internet connection allow read read device internet conection ereader smartphone ipad laptop,IoT,0.869,Connected Life,0.866,Connected Home,0.862
7,5470,2GIS,international technology company develop service comfortable life city mission help people live city expensive company russian internet accord forbes main product company city information service bring map navigator business directory monthly active user service cover city country available free mobile application io android,Mobile,0.817,Creator Economy,0.813,Connected Life,0.802
8,5958,352-Medical-Group,local organisation trust healthcare professional clinic hospital provide excellence choice diagnosis education treatment health need mission world class provider healthcare solution put patient forefront aim group preferred choice patient healthcare professional,Healthcare,0.833,Health Tech,0.817,MedTech,0.807
9,4004,365-Response,response unique software service organisation different create solution directly respond specific challenge collaborate client multiple sector understand detailed requirement identify gap accordingly implement solution response team unique combination fast pace innovative approach establish system unparalleled industry experience proud solution help client achieve improved service level significant cost saving,Productivity,0.78,Platforms,0.775,Cloud Computing,0.764
10,5635,365Scores,cross platform application enable user create personalized sport channel individual live score news form media channel video highlight statistic fixture standing tweet cover major sport platform available language,Creator Economy,0.823,Social Networks,0.803,Business Intelligence,0.802
11,4797,3Box,storage simple secure private design app store data user lighter trustworthy enjoy reduce datum management liability,Data Storage,0.893,Cloud Computing,0.883,Edge Computing,0.873
12,8364,3D-Robotics,make advanced drone technology easily accessible construction mining surveying industry use datum analysis help user land mapping site scan service collect accurate aerial datum jobsite turn urn drone photo map model point cloud provide comprehensive onboarde ongoing support enable client batter informed decision relate construction site found headquartered berkeley california,Business Intelligence,0.827,Analytics,0.814,Big Data,0.786
13,3918,3sun-Group,limited subsidiary provide hydraulic control instrumentation product service oil gas sector worldwide furthermore offer skilled technician installation servicing wind turbine offshore application onsite testing inspection service oil gas renewable asset technical vocational training service united kingdom europe limited found base great yarmouth united kingdom,Industrial Tech,0.774,Logistics,0.77,Industrial IoT,0.769
14,1767,40-Partners-Ltd,produce talent broadcaster brand short form feature length studio go bit different hopefully game changer talent stay touch course year,Creator Economy,0.796,Entertainment,0.774,EdTech,0.764
15,1351,42Lab,modular portable affordable biotech laboratory student science technology engineering mathematic stem education require oecd country school struggle introduce biotechnology student high equipment cost troublesome experiment preparation solve problem provide portable modular biotech equipment student conduct experiment companion app serve electronic manual student management tool teacher vision bring biotech experience student like raspberry pi computer science,EdTech,0.815,Future of Work,0.773,Longevity,0.771
16,8307,4-Antibody-AG,antibody ag develop human antibody drug discovery platform generate antibody therapeutic focus immuno oncology technology platform retrocyte display design generate therapeutic antibody drug candidate incorporate human antibody library express mammalian b lineage lymphocyte company develop preclinical checkpoint antibody program target gitr antibody ag found base basel switzerland,Genomics,0.798,BioTech,0.782,Psychedelics,0.741
17,6524,5Mins,s gamified learn platform design help employee improve skill curate short form video content lead creator world make available team business adaptive gamifie learn engine,EdTech,0.886,Analytics,0.873,Future of Work,0.864
18,1504,7bridges,smart logistic platform deliver visibility control logistic process unify data operation enable access global supplier ecosystem world class sustainable logistic operation rapidly achievable reality platform realize future proof sustainable logistic scalable competitive profit growth drive edge,Analytics,0.832,Blockchain,0.817,Cloud Computing,0.816
19,4084,7digital,global leader end end digital music solution core business provision robust scalable technical infrastructure extensive global music right create music streaming radio service diverse range customer include consumer brand mobile carrier broadcaster automotive system record label retailer offer radio production music curation service editorial strategy content management expertise,Platforms,0.844,Creator Economy,0.825,Mobile,0.823
20,432,7TM-Pharma,pharma biotech company discover develop drug primary therapeutic focus diabetes gastrointestinal metabolic asthma vascular disease company offer transmembrane span receptor include small molecule receptor antagonist npy selective agonist gastrointestinal disorder short bowel syndrome antagonist oral drug inflammatory respiratory disease pharma found base lyngby hovedstaden,Psychedelics,0.767,Genomics,0.734,Gut Microbiome,0.717
21,3403,8fit,app help build healthy habit life simple solution support user worldwide individual journey healthier happy life push progress perfection choose good solution quick fix enjoy journey healthiest mind body understand obstacle people face fitness journey not easy s size fit way find lifelong health s building engage approachable way people achieve personal fitness goal,Happiness & Wellbeing,0.745,Social Networks,0.725,EdTech,0.722
22,28,8tracks-Radio,internet radio social network streams user curate song playlist contain track handcraft internet radio network social alternative pandora listener tune online mixtape track curate people know love music stream legal radio style manner,Creator Economy,0.819,Social Networks,0.796,Mobile,0.753
23,1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient,Analytics,0.806,Business Intelligence,0.802,Genomics,0.8
24,5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform smb finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil,Future of Work,0.826,Analytics,0.825,Productivity,0.822
25,258,Abacus.AI,abacus ai artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base san francisco california,Analytics,0.859,Future of Work,0.856,Platforms,0.842
26,3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience,Social Networks,0.866,MarTech,0.861,Creator Economy,0.857
27,6113,ABA-English,aba english lead digital academy english learning student worldwide headquartered barcelona talented team compose professional country aba english stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently aba english recognize good educational app reimagine education award feature apple google educational app,EdTech,0.803,Analytics,0.771,Future of Work,0.766
28,10663,ABAX,abax developer supplier car logbook car tracker system fleet control software equipment control technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty,Sales & CRM,0.828,Industrial IoT,0.824,InsurTech,0.823
29,6511,Abcodia,abcodia biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnerships ucl technology platform provider lead commercial diagnostic company abcodia able support end end diagnostic development process abcodia found base cambridge uk,Health Tech,0.801,Longevity,0.797,BioTech,0.792
30,9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base pakistan,Future of Work,0.749,DeFi,0.741,Analytics,0.73
31,3255,ABK-Biomedical,abk biomedical combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization,MedTech,0.862,Healthcare,0.86,Health Tech,0.847
32,5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease today company approximately project pipeline nanobodie clinical development,BioTech,0.86,Genomics,0.838,Life Sciences,0.837
33,3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base rna dna therapeutic treatment cancer infectious disease,Life Sciences,0.916,BioTech,0.908,Longevity,0.894
34,7990,Abokado,abokado own operate chain food bar restaurant united kingdom offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry asian food abokado supply lunch company mark lilley wife lindsey found headquarters london united kingdom,Retail,0.764,Food & Beverage,0.718,Mobile,0.716
35,3174,AbsolutData,absolutdata consulting orient analytic research firm number fortune client wide variety industry country navik ai platform enterprise blend ai technology datum analytic serve intelligence layer forward think company,Analytics,0.865,Data Infrastructure,0.855,Platforms,0.849
36,3436,Acacia-Pharma,acacia pharma pharmaceutical company discover develop supportive care drug company focus cancer supportive care product include injectable formulation oral drug use nausea vomiting use cancer cachexia intravenous formulation use prevention treatment nausea vomiting company concentrate discovery effort cancer relate fatigue cancer cachexia xerostomia acacia pharma incorporate base cambridge united kingdom,Psychedelics,0.782,Healthcare,0.72,Health Tech,0.707
37,4672,ACAL-Energy,acal energy developer fuel cell system module consumable chemical range use include stationary residential automotive application require large kw power innovative design deliver substantial cost saving fuel cell system performance improvement pem proton exchange membrane accelerate adoption pem fuel cell technology key market,Energy Storage,0.819,Energy Distribution,0.793,Circular Economy,0.781
38,739,Accelerated-Payments,accelerated payment enable sme expand grow allow advance cash specific individual invoice accelerate payment create entrepreneur year experience financial service start run business,Creator Economy,0.83,E-commerce,0.821,InsurTech,0.815
39,4924,AccelerComm,accelercomm exciting semiconductor ip core company provide solution accelerate generation wireless communication rel rel technology solve bottleneck limit speed generation wireless communication error correction decode required overcome effect noise interference poor signal strength,Industrial IoT,0.824,Semiconductors,0.821,Data Storage,0.809
40,6388,Access-Bank,access bank provide banking product service individual business customer ghana offer standard saving current access advantage solo premier account company provide online banking service include atm online access point sale terminal service bill payment western union money transfer service,Payments,0.861,E-commerce,0.837,DeFi,0.807
41,6483,AccessFintech,accessfintech offer risk management service bank buyside firm track trade lifecycle help firm track trade lifecycle true sense prioritize risk increase number system access fintech bring fintech providers house technology orchestrate interaction distribute provider create single visual display risk financial transaction global sharable view,InsurTech,0.83,DeFi,0.82,Analytics,0.816
42,10138,Access-Intelligence,access intelligence b b medium information company headquarter rockville serve energy defense healthcare management chemical satellite aviation cable medium public relation market,Retail,0.833,5G Networks,0.819,PropTech,0.813
43,3427,Accuri-Cytometers,accuri cytometer found address compelling need life scientist love rapid cell cell analysis capability flow cytometer flow cytometer lab barrier researcher include cost instrument complexity software effort require maintenance large bench space require instrument result company look develop affordable robust cytometer,Analytics,0.77,Industrial IoT,0.765,Longevity,0.762
44,10601,Accutrainee,accutrainee found run solicitor understand legal industry challenge deliver legal service client critical need commercial approach whilst stay sensitive partnership ethos profession understand trainee process having experience hand,InsurTech,0.824,Professional Services,0.823,Future of Work,0.822
45,8817,AccuVein,accuvein specialize vein visualization technology flagship product hand hold non contact vein illumination solution allow healthcare professional map peripheral vein skin surface goal access avoid vein build proprietary technology embody grow patent portfolio cover broad range image medical diagnostic technology company found headquartered medford new york,MedTech,0.816,Health Tech,0.81,InsurTech,0.783
46,7247,Acea-Health,acea health digital healthcare company develop application call flynote new digital consent platform flynote analyse number factor include patient background deliver personalise risk benefit flynote aim solution consent healthcare,InsurTech,0.847,Health Tech,0.833,AdTech,0.822
47,6553,Acesion-Pharma,acesion pharma developer medical drug design treatment atrial fibrillation company medical drug develop treatment atrial fibrillation common type cardiac arrhythmia follow concept inhibit type ion channel heart cell involve generate electrical signal regulate heart rhythm provide consumer chronic treatment prevent recurrence af maintain normal heart rhythm,Longevity,0.753,Psychedelics,0.753,Health Tech,0.747
48,6532,Achilles-Therapeutics,achille therapeutic developer immunotherapy intend offer generation patient specific therapy treat cancer company immunotherapie harness immune system destroy cancer cell target truncal tumor neo antigen flag immune system present surface cancer cell enable scientist target destroy tumor harm healthy tissue,Genomics,0.788,Longevity,0.781,BioTech,0.76
49,7485,Achillion-Pharmaceuticals,achillion drive transform live patient family affect disease complement system integral innate immune system scientific clinical evidence implicate complement system specifically complement alternative pathway ap numerous devastating disease condition principal focus achillion advance clinical stage portfolio orally administer factor d inhibitor late stage development potential commercialization patient devastating disorder complement system,Psychedelics,0.776,Longevity,0.771,Genomics,0.765
50,10086,Acousticeye,acousticeye establish tal pechter noam amir bring acoustic technology ndt non destructive testing industry company develop manufacturer market mobile embed tube inspection device acousticeye patent pende technology offer accurate rapid single point inspection inaccessible tube company dolphin system unique ability quickly find accurately locate defect complex tube system regardless material need physically traverse probe tube,Industrial IoT,0.774,IoT,0.773,Robotics,0.762
51,10194,Acre,acre rebuild uks mortgage market ground vertically integrate mortgage stack new end end platform broker lender,DeFi,0.84,FinTech,0.817,PropTech,0.811
52,4981,AcreTrader,acretrader agricultural real estate invest platform help buyer buy share farmland online platform acretrader provide transparency flexibility ease use people want invest farmland handling aspect administration property management insurance account work local farmer improve soil sustainability company found headquartered fayetteville arkansas,DeFi,0.807,InsurTech,0.796,PropTech,0.777
53,3893,ACS-Clothing,acs provider men hirewear lead retailer uk ireland wtih extensive range formalwear highlandwear provide outfits wearer year range garment available hire found company grow year proud supply large menswear retailer uk,Beauty,0.809,Fashion,0.801,Retail,0.789
54,7159,Actionality,actionality offer mobile marketing technology solution company adflextm platform enable user develop mobile commercial standardized format campaign logic support update rotation modification interaction reporting serve advertiser mobile operator content providers asia europe company found base munich germany sale office berlin germany hong kong hong kong july actionality subsidiary yahoo,Mobile,0.796,Creator Economy,0.782,AdTech,0.781
55,3073,Actronika,actronika build haptic platform enable seamless system integration actronika leader haptics technology provide cut edge vibrotactile module integrate client system actronika develop human machine interface solution patent haptic technology human bear touch order form relationship learn engaged environment face digitize world mission engage people tangible material experience hardware software possible,Robotics,0.762,Generative AI,0.76,Analytics,0.753
