,name,cb_description,highest_scored_cluster,top_matched_cluster_keywords
0,InterResolve,interresolve radically new approach deal car accident personal injury claim highly automate process work insurer car rental agency bypass expensive inefficient legal process interresolve ethical solution end customer provide early medical attention clarity claim quick payment compensation whilst ultimately cut car insurance cost,1,"injury, car, insurer, compensation, medical, personal, insurance, accident, claim"
1,GladCloud,gladcloud trade marketing infrastructure combine location datum dynamic customisation brand asset analysis ai machine learning provide solution stakeholder large brand trade customer platform specifically design brand sell product service large network independently own merchant alcoholic beverage bar professional cosmetic salon food delivery table booking service restaurant,0,"trade, sell, cosmetic, location, beverage, delivery, table, food, marketing, bar, salon, alcoholic, brand, service, customer, booking, restaurant, large, merchant"
2,13th-Lab,lab develop generation computer vision platform mobile device lab believe camera potential important device sensor building tool enable platform base slam simultaneous localization mapping technology originally invent nasa autonomous vehicle space mission application build platform ball invasion available ios app store ipad2 owner,1,"computer, enable, localization, vehicle, store, simultaneous, camera, app, ball, ios, owner, originally, vision, device, tool, technology, available, lab, sensor, platform, autonomous, application, important, mobile"
3,1939-Games,games indie game development studio base reykjavik iceland focus wwii gaming experience currently work digital collectible card game go kard game draw familiar element card game genre fuse classic wwii game elegant action pack fun card game game found kards project ccp veteran,0,"iceland, kard, reykjavik, kards, veteran"
4,2021.AI,2021.ai serve grow business need oversight management apply ai team expertise data science combine ai platform grace business differentiator client partner worldwide grace key component organization solve complex business problem ai provide comprehensive datum ai governance capability responsible transparent trustworthy model development 2021.ai headquarter copenhagen employee location globally,1,"component, complex, grow, oversight, model, differentiator, expertise, datum, capability, ai, science, trustworthy, development, data, transparent, governance"
5,20nine,20nine helped transform regional national global brand wide range category industry apply insight gather way solve local national global marketing problem great energy originality build brand like temple university athletic mda ride life millwork ascension kleer tie bar eye view medium math,0,"athletic, industry, category, local, kleer, marketing, bar, brand, national, math, regional, university, temple, apply"
6,21GRAMS,gram offer postal management corporate customer leverage technology leadership postage optimisation combination unique set knowledge experience post print document management software company offer allow customer outsource non core production bulk mailing simplify communication process significantly reduce postage expense exploit saving opportunity deregulate postage market,2,"process, company, management, outsource, market, leverage, knowledge, corporate, communication, technology, customer, opportunity, production, leadership, experience, optimisation"
7,Geltor,geltor conscious biodesign company create world advanced designer protein start imagine deeply explore nature tree life combine biology protein optimization fermentation create sustainable high performance consumer protein optimal functionality benefit protein animal- gmo free globally scalable sustainably cultivate geltor product result endless curiosity ceaseless optimization clinically demonstrate high performance,1,"functionality, product, free, combine, scalable, optimization, result, performance, demonstrate, benefit, optimal"
8,21st.BIO,bio bioproduction startup assist bioindustrial company scale molecule innovation large scale production order meet market demand advance global green transition help company build competitive manufacturing foundation allow focus succeed market multiple expression system bio provide access optimize high performance strain platform production medium improve yield stability significantly,2,"company, demand, stability, market, succeed, build, manufacturing, optimize, performance, improve, significantly, platform, competitive, innovation, production, large, scale"
9,iSIZE-Technologies,isize technology company deliver deep neural network data drive video preprocessing order provide significant bitrate saving standard encoder significant quality improvement bitrate allow advanced ai service like automate tagging recognition run seamlessly conjunction live content delivery,2,"video, quality, live, content, drive, run, bitrate, seamlessly"
10,24SevenOffice,24sevenoffice offer fully integrate ajax power crm erp web application sme market module include accounting crm invoicing project management file management e mail addition product extend service partner bank payroll accounting firm voip integration webex](/organization webex host company market norway sweden uk invoice accounting module customize use market,2,"bank, company, management, market, mail, crm, payroll, invoice, invoicing, accounting, addition, service, partner, voip, firm"
11,Jiffy.ai,software company offer ai power intelligent integrate platform modern day digital enterprise help business automate task intelligent robot detect adapt automate scenario base change allow organization utilize staff productively have worry task critical add value system right processing unstructured datum capture different format make cognitive decision nlp ml base algorithm jiffyrpa help customer achieve close 90+% automation significant traditional rpa solution rule base achieve low automation level complex process,1,"process, achieve, capture, software, algorithm, ai, processing, format, automation, digital, rpa, automate, robot, detect"
