,id,name,cb_description
0,1820,0xKYC,modular knowledge system identity credential management reimagine create knowledge proof zkps prove ofac sanction know fraud wallet list
1,1536,100ms,live video infrastructure platform provide subscription base product customer company provide low code solution company look add video audio conferencing application bring real life interaction virtual world seamlessly increasingly virtual remote world need infrastructure provider allow experience happen seamlessly good class quality ease use fuel revolution make live video work team obsess problem solve world class scale different nerk device condition great infrastructure provider need short integration time foundation build principle
2,3640,10X-Genomics,create revolutionary dna sequence technology help researcher well identify subtle variation overlook technology shre biological sample tiny fragment sequence short stretch computer assemble genome
3,9594,111Skin,commit positive luxury skincare push boundary technological change establish sustainable philanthropic female lead future skincare addition source ethical material cut edge ingredient
4,4697,1715Labs,company establish commercialise zooniverse technology
5,473,1stdibs,internet company offer marketplace rare desirable object furniture fashion fine art jewelry feature online base platform connect respected dealer maker sophisticated collector share pursuit beautiful design
6,7956,1v1Me,application allow user play match favorite video game cash community meet play member company found base
7,9457,21sportsgroup,online sport good retailer offer selection running shoe bicycle apparel accessory amateur athlete runner cyclist triathlete right professional athlete market range sporting good mainly area outdoor action run cycling triathlon sport combine e commerce retail business reduce gap online offline retail service product company available immediate shipping found base wurttemberg
8,4477,23andMe,human genome research company enable user study ancestry genealogy inherit trait startup co found wife co founder plan human genome searchable give series company name number chromosome pair human aim help people understand gene mean indexing highlight significant finding allow client user study ancestry genealogy inherit trait company market researcher scientist provide neatly categorize easily searchable data reason investment sense company enable search giant index facet world information industry grow rapidly help maintain market hold multi dollar area
9,917,24Symbols,solution read digital book read device internet connection allow read read device internet conection ereader smartphone laptop
10,5470,2GIS,international technology company develop service comfortable life city mission help people live city expensive company internet accord forbes main product company city information service bring map navigator business directory active user service cover city country available free mobile application io
11,5958,352-Medical-Group,local organisation trust healthcare professional clinic hospital provide excellence choice diagnosis education treatment health need mission world class provider healthcare solution put patient forefront aim preferred choice patient healthcare professional
12,4004,365-Response,response unique software service organisation different create solution directly respond specific challenge collaborate client multiple sector understand detailed requirement identify gap accordingly implement solution response team unique combination fast pace innovative approach establish system unparalleled industry experience proud solution help client achieve improved service level significant cost saving
13,5635,365Scores,cross platform application enable user create personalized sport channel individual live score news form media channel video highlight statistic fixture standing tweet major sport platform available language
14,4797,3Box,storage simple secure private design store data user lighter trustworthy enjoy reduce datum management liability
