id,name,cb_description
4081,InterResolve,new approach car accident personal injury claim process insurer car rental agency expensive inefficient legal process ethical solution end customer early medical attention clarity claim quick payment compensation car insurance cost
2785,GladCloud,trade marketing infrastructure location datum dynamic customisation asset analysis machine learn solution stakeholder large brand trade customer platform brand product service large network merchant alcoholic beverage bar professional cosmetic salon food delivery table booking service restaurant
23680,13th-Lab,lab generation computer vision platform mobile devices lab camera potential important device sensor tool platform technology autonomous vehicle space mission application platform available ipad2 owner
2932,Hilson-Moran,consultancy building service sustainability facility management service service engineer commercial office retail leisure hotel residential project
22003,1928-Diagnostics,cloud healthcare provider antibiotic resistance software service revolutionary outbreak trace diagnostic infection control hospital
21617,1939-Games,indie game development studio gaming experience digital collectible card game game familiar element card game genre classic elegant action fun card game project veteran
23558,2021.AI,business need oversight management apply team expertise data science platform business differentiator client partner key component organization complex business problem comprehensive data capability responsible transparent trustworthy model development employee location
22310,20nine,regional national global brand wide range category industry insight way local national global marketing problem great energy originality brand view math
21774,21GRAMS,postal management corporate customer technology leadership postage optimisation combination unique set knowledge experience post print document management software company offer customer non core production bulk mailing communication process postage expense saving opportunity deregulate postage market
9229,Geltor,conscious biodesign company world advanced designer protein nature tree life biology protein optimization fermentation sustainable high performance consumer protein optimal functionality benefit protein free scalable product result endless curiosity ceaseless optimization high performance
4726,Cloud-Sustainability,cloud software platform way sustainability knowledge consultancy training cost educate user self sufficiency long term sustainable benefit
2475,IOCOM,visual communication software videoconferencing collaboration solution barrier communication unprecedented ease use performance security price business experience limitles communication
23525,21st.BIO,bioproduction startup bioindustrial company molecule innovation large scale production order market demand global green transition company competitive manufacture foundation market multiple expression system access high performance strain platform production media yield stability
4315,iSIZE-Technologies,company deep neural network datum video preprocessing order significant bitrate saving standard encoder significant quality improvement bitrate advanced service tag recognition conjunction live content delivery
8761,NPS,technology research laboratorie exclusive licence technology specific application industry
246,Iterable,iterable cross channel platform unify customer experience marketer relevant interaction experience customer market automation platform customer interaction
