name,cb_description
InterResolve,"insurer, injury, insurance, legal, inefficient, accident, claim"
GladCloud,"platform, brand, asset, network, customisation, solution, design, customer, infrastructure, datum, product, marketing, analysis, stakeholder, learning, specifically, service, cosmetic, delivery"
13th-Lab,"ball, platform, tool, mapping, vision, sensor, device, technology, ios, mobile, vehicle, autonomous, camera, mission, potential, application, localization, computer"
Hilson-Moran,"building, engineer, project, management, consultancy, sustainability"
1928-Diagnostics,"dna, antibiotic, infection, diagnostic, outbreak"
1939-Games,"gaming, fun, work, focus, game, games"
2021.AI,"business, headquarter, organization, employee, oversight, governance, apply, responsible, capability, grow, development, management"
20nine,"brand, industry, marketing, originality, ride"
21GRAMS,"postal, document, print, saving, unique, postage, mailing"
Geltor,"cultivate, company, product, fermentation, designer, start, create, combine, consumer, protein"
Cloud-Sustainability,"platform, consultancy, create, cloud, base, term, software"
IOCOM,"collaboration, communication, videoconference"
21st.BIO,"transition, bioproduction, production, company, manufacturing, demand, bioindustrial, market, innovation, yield"
iSIZE-Technologies,"network, neural, recognition, deep, encoder, bitrate, ai, data"
NPS,polymer
Iterable,"platform, design, customer, experience, marketing, create, love, marketer"
Cyrus-Audio,"detail, engineering, innovative, design, achieve, audio, equipment"
24SevenOffice,"integrate, web, ajax, file, project, service, webex, module, application, customize"
2D-fab-AB,"graphite, graphene"
Utmost,"workday, company, legacy, vendor, base, management, enterprise, workforce"
Jiffy.ai,"platform, capture, automate, system, integrate, robot, achieve, algorithm, cognitive, productively, unstructured, automation, processing, process, ai, task, detect, software"
eleXsys-Energy,"cleantech, innovative, company, technology"
Gemfire,"optical, conductor, technology, atmosphere, type, telecom, component, aerospace"
Jobandtalent,"labor, hire, worker, company, office, employment, staff, unemployment, service, growth, jobandtalent"
360-Logistics,"business, owner, automate, operator, autostore, employee, service, store, concentrate, growth, market, supplier, warehouse, logistic"
3rd-Eye-Studios,"movie, group, industry, work, company, game, technology, tv, atmospheric"
Joost,"tool, etc, channel, embed, screen, experience, widget, forum, content, example, directly, data, chat, catalog, iptv, technology, skype, browser, video, image, livestation, enhance, internet, datum, desktop, interactive, hardware, display, allow, type, stream, platform, intersperse, server, require, program, programming, television, tv, download, software"
NAVENTIK-GmbH,"system, relevant, solution, sensor, diverse, develop, security, pathinfder, autonomous, position, software, execute"
3Shape,"digital, art, scanning, software, intra, laboratory"
3TEMP-AB,"investment, people, coffee, receive, year, drip, player, end, commercial, include, brewer, sell, market, filter, worth"
