,name,cb_description,highest_scored_cluster,top_matched_cluster_keywords
0,InterResolve,interresolve radically new approach deal car accident personal injury claim highly automate process work insurer car rental agency bypass expensive inefficient legal process interresolve ethical solution end customer provide early medical attention clarity claim quick payment compensation whilst ultimately cut car insurance cost,0,"process, solution, clarity, quick, legal, ethical, radically, whilst, new, inefficient, approach, end, provide, medical, early, attention, work, ultimately, bypass, deal, personal, highly, interresolve, automate, cut"
1,GladCloud,gladcloud trade marketing infrastructure combine location datum dynamic customisation brand asset analysis ai machine learning provide solution stakeholder large brand trade customer platform specifically design brand sell product service large network independently own merchant alcoholic beverage bar professional cosmetic salon food delivery table booking service restaurant,1,"solution, product, trade, cosmetic, network, combine, machine, location, specifically, gladcloud, customisation, datum, design, learning, table, infrastructure, ai, food, provide, analysis, independently, service, platform, dynamic, large, stakeholder, professional, asset"
2,13th-Lab,lab develop generation computer vision platform mobile device lab believe camera potential important device sensor building tool enable platform base slam simultaneous localization mapping technology originally invent nasa autonomous vehicle space mission application build platform ball invasion available ios app store ipad2 owner,1,"computer, enable, app, ios, device, tool, technology, sensor, platform, autonomous, application, nasa, mobile"
3,1939-Games,games indie game development studio base reykjavik iceland focus wwii gaming experience currently work digital collectible card game go kard game draw familiar element card game genre fuse classic wwii game elegant action pack fun card game game found kards project ccp veteran,2,"genre, collectible, base, indie, project, ccp, gaming, studio, game, currently, card, pack, fun, classic, games, digital, wwii, fuse, veteran"
4,2021.AI,2021.ai serve grow business need oversight management apply ai team expertise data science combine ai platform grace business differentiator client partner worldwide grace key component organization solve complex business problem ai provide comprehensive datum ai governance capability responsible transparent trustworthy model development 2021.ai headquarter copenhagen employee location globally,1,"component, complex, oversight, management, differentiator, expertise, problem, datum, responsible, solve, capability, need, provide, key, comprehensive, transparent, governance, headquarter, organization"
5,20nine,20nine helped transform regional national global brand wide range category industry apply insight gather way solve local national global marketing problem great energy originality build brand like temple university athletic mda ride life millwork ascension kleer tie bar eye view medium math,0,"industry, category, marketing, bar, medium, brand"
6,21GRAMS,gram offer postal management corporate customer leverage technology leadership postage optimisation combination unique set knowledge experience post print document management software company offer allow customer outsource non core production bulk mailing simplify communication process significantly reduce postage expense exploit saving opportunity deregulate postage market,2,"postage, mailing, document, post, print, postal"
7,Geltor,geltor conscious biodesign company create world advanced designer protein start imagine deeply explore nature tree life combine biology protein optimization fermentation create sustainable high performance consumer protein optimal functionality benefit protein animal- gmo free globally scalable sustainably cultivate geltor product result endless curiosity ceaseless optimization clinically demonstrate high performance,1,"biodesign, company, tree, biology, result, protein, geltor, fermentation, gmo, nature"
8,21st.BIO,bio bioproduction startup assist bioindustrial company scale molecule innovation large scale production order meet market demand advance global green transition help company build competitive manufacturing foundation allow focus succeed market multiple expression system bio provide access optimize high performance strain platform production medium improve yield stability significantly,0,"company, global, demand, market, bioindustrial, manufacturing, bioproduction, bio, innovation, production, molecule"
9,iSIZE-Technologies,isize technology company deliver deep neural network data drive video preprocessing order provide significant bitrate saving standard encoder significant quality improvement bitrate allow advanced ai service like automate tagging recognition run seamlessly conjunction live content delivery,2,"video, network, live, content, like, drive, deep, run, preprocessing, bitrate, encoder, seamlessly, ai, neural, conjunction, recognition, automate, tagging"
