id,name,cb_description,industry1,score1,industry2,score2,industry3,score3,industry4,score4,industry5,score5
4081,InterResolve,radically new approach deal car accident personal injury claim highly automate process work insurer car rental agency bypass expensive inefficient legal process ethical solution end customer provide early medical attention clarity claim quick payment compensation ultimately cut car insurance cost,InsurTech,0.405,LegalTech,0.32,Automation,0.299,Sales & CRM,0.287,RegTech,0.246
2785,GladCloud,trade marketing infrastructure combine location datum dynamic customisation brand asset analysis machine learning provide solution stakeholder large brand trade customer platform specifically design brand sell product service large network independently own merchant alcoholic beverage bar professional cosmetic salon food delivery table booking service restaurant,Retail,0.495,Sales & CRM,0.477,Circular Economy,0.417,Procurement,0.4,Physical Storage,0.397
23680,13th-Lab,lab develop generation computer vision platform mobile device lab believe camera potential important device sensor building tool enable platform base simultaneous localization mapping technology originally invent autonomous vehicle space mission application build platform ball invasion available ios ipad2 owner,Autonomous Driving,0.403,Productivity,0.394,Computer Vision,0.388,MedTech,0.38,Robotics,0.38
2932,Hilson-Moran,provide consultancy building service sustainability facility management service firmly establish lead service engineer commercial office retail leisure hotel residential project,Physical Storage,0.35,Energy Efficiency,0.341,Travel,0.328,Circular Economy,0.302,GreenTech,0.296
22003,1928-Diagnostics,diagnostic digital health company crunch dna datum cloud enable healthcare provider fight antibiotic resistance software service provide revolutionary outbreak trace diagnostic infection control hospital,Health Tech,0.432,Healthcare,0.363,Data Infrastructure,0.352,MedTech,0.345,Data Management,0.325
21617,1939-Games,games indie game development studio base focus gaming experience currently work digital collectible card game go game draw familiar element card game genre fuse classic gaming elegant action pack fun card game game found project veteran,Gaming,0.611,AR/MR/VR,0.394,Design,0.387,Metaverse,0.332,Esports,0.326
23558,2021.AI,serve grow business need oversight management apply team expertise data science combine platform business differentiator client partner worldwide key component organization solve complex business problem provide comprehensive data governance capability responsible transparent trustworthy model development headquarter employee location globally,Data Management,0.456,Data Centers,0.442,Business Intelligence,0.437,Physical Storage,0.418,DeFi,0.417
22310,20nine,20nine helped transform regional national global brand wide range category industry apply insight gather way solve local national global marketing problem great energy originality build brand mda ride life millwork ascension eye view math,Circular Economy,0.416,Sharing Economy,0.4,Transportation,0.37,Telecoms,0.368,Retail,0.352
21774,21GRAMS,offer postal management corporate customer leverage technology leadership postage optimisation combination unique set knowledge experience post print document management software offering allow customer outsource non core production bulk mailing simplify communication process significantly reduce postage expense exploit saving opportunity deregulate postage market,Sales & CRM,0.44,Logistics,0.362,Physical Storage,0.347,Supply Chains,0.343,Retail,0.306
9229,Geltor,conscious biodesign company create world advanced designer protein start imagine deeply explore nature tree life combine biology protein optimization fermentation create sustainable high performance consumer protein optimal functionality benefit protein animal- -free globally scalable sustainably cultivate product result endless curiosity ceaseless optimization clinically demonstrate high performance,Deep Tech,0.371,Life Sciences,0.353,Circular Economy,0.351,Creator Economy,0.345,Genomics,0.33
4726,Cloud-Sustainability,cloud base software platform change way sustainability knowledge consultancy training deliver reduce cost educate empower user create self sufficiency deliver long term sustainable benefit,Cloud Ops,0.468,Cloud Computing,0.407,Future of Work,0.402,Cloud Infrastructure,0.4,Data Centers,0.338
2475,IOCOM,create visual communication software design videoconference collaboration solution break barrier communication unprecedented ease use performance security price business afford experience limitless communication,Communications,0.424,Future of Work,0.349,Productivity,0.303,Video/Audio,0.291,Design,0.29
23525,21st.BIO,bioproduction startup assist bioindustrial company scale molecule innovation large scale production order meet market demand advance global green transition help company build competitive manufacturing foundation allow focus succeed market multiple expression system provide access optimize high performance strain platform production medium improve yield stability significantly,Deep Tech,0.405,Carbon Removal,0.4,Circular Economy,0.385,Climate & Clean Tech,0.354,Genomics,0.346
4315,iSIZE-Technologies,isize technology company deliver deep neural network data drive video preprocessing order provide significant bitrate saving standard encoder significant quality improvement bitrate allow advanced ai service automate tagging recognition run seamlessly conjunction live content delivery,Video/Audio,0.417,Computer Vision,0.342,Data Storage,0.335,Network Infrastructure,0.33,Communications,0.324
8761,NPS,found order exploit polymer technology invent develop research laboratory establish exclusive licence technology working apply specific application industry,Manufacturing,0.381,Deep Tech,0.334,3D Printing,0.319,Chemicals,0.307,Hardware,0.306
246,Iterable,iterable cross channel platform power unify customer experience empower marketer create optimize measure relevant interaction experience customer love provide marketing automation platform design optimize measure customer interaction,Sales & CRM,0.446,MarTech,0.418,Retail,0.413,Connected Home,0.343,Connected Life,0.34
19064,Cyrus-Audio,cyrus operate specialist audio company manufacturing precision hi fi equipment focus -channel audio company achieve premium market position innovative engineering attention design detail,Hardware,0.325,Manufacturing,0.32,Video/Audio,0.309,Retail,0.297,Industrial Tech,0.261
25530,24SevenOffice,offer fully integrate ajax power /erp web application -market module include account invoicing project management file management e mail addition product extend service partner bank payroll accounting firm -integration webex](/organization webex host company market invoice accounting module customize use market,Sales & CRM,0.414,Business Intelligence,0.379,Industrial IoT,0.373,Procurement,0.366,DeFi,0.352
23102,2D-fab-AB,fab manufacturer green graphene provide graphene product -based production -dimensional material powder consist graphene graphite sell dry supply material follow industry transport medicine electronic energy defense desalination,Materials,0.348,Carbon Removal,0.3,Climate & Clean Tech,0.296,Hardware,0.285,GreenTech,0.268
8367,Utmost,utmost provide workday native alternative legacy vendor management system give enterprise single solution source engage optimize spend extend workforce company found base,Future of Work,0.408,Procurement,0.405,Productivity,0.387,Circular Economy,0.383,Sales & CRM,0.369
3351,Jiffy.ai,software company offer ai power intelligent integrate platform modern day digital enterprise help business automate task intelligent robot detect adapt automate scenario base change allow organization utilize staff productively have worry task critical add value system right processing unstructured datum capture different format make cognitive decision -based algorithm help customer achieve close significant traditional solution rule base achieve low automation level complex process,Productivity,0.584,Sales & CRM,0.563,Automation,0.556,Industrial Tech,0.528,Industrial IoT,0.475
9293,eleXsys-Energy,operate cleantech energy company innovative technology unlock potential electricity nerk provide service enable way flow electricity grid,Energy Distribution,0.451,Electrification,0.423,GreenTech,0.413,Energy Efficiency,0.366,Energy Storage,0.349
741,Gemfire,combine entrepreneurial atmosphere extensive technology base found gemfire specialize apply planar semi conductor type processing technology create optical solution system integrator innovative new family high performance telecom specialty component currently company primary operation near aerospace support operation additional telecom manufacturing capability,Network Infrastructure,0.392,Hardware,0.375,Sales & CRM,0.363,Telecoms,0.358,Circular Economy,0.357
3560,Jobandtalent,jobandtalent demand staff marketplace aim labor market liquid transparent help company hire flexible way mission reduction unemployment world labor market evolve structured state extremely flexible company demand flexibility result growth liquidity market flexible state labor market leave worker vulnerable unprotected employment situation jobandtalent create service waas platform order labor flexibility beneficial company worker alike company office plan expansion,Human Resources,0.444,Sales & CRM,0.406,Future of Work,0.379,Sharing Economy,0.345,E-commerce,0.307
