id,name,cb_description,industry1,score1,industry2,score2,industry3,score3
1820,0xKYC,modular knowledge system identity credential management reimagine create knowledge proof zkps prove ofac sanction year age know fraud wallet list,Cybersecurity,0.379,RegTech,0.375,FinTech,0.369
3640,10X-Genomics,genomic create revolutionary dna sequence technology help researcher well identify subtle variation overlook technology shre biological sample tiny fragment sequence short stretch computer assemble genome,Life Sciences,0.434,Genomics,0.415,BioTech,0.409
9594,111Skin,commit positive luxury skincare push boundary technological change establish sustainable philanthropic female lead future skincare addition source ethical material cut edge ingredient,Beauty,0.528,Fashion,0.352,SexTech,0.345
473,1stdibs,internet company offer marketplace rare desirable object furniture fashion fine art jewelry feature online base platform connect respected dealer maker sophisticated collector share pursuit beautiful design,E-commerce,0.44,Retail,0.418,Design,0.412
7956,1v1Me,application allow user play match favorite video game cash community meet play member company found base new york,Gaming,0.404,Esports,0.396,Sharing Economy,0.39
9457,21sportsgroup,online sport good retailer offer selection running shoe bicycle apparel accessory amateur athlete runner cyclist triathlete right professional athlete market range sporting good mainly area outdoor action run cycling triathlon sport combine e commerce retail business reduce gap online offline retail service product company available immediate shipping found jrg mayer based mannheim baden wurttemberg,Fashion,0.432,Retail,0.346,Esports,0.322
917,24Symbols,solution read digital book read device internet connection allow read read device internet conection ereader smartphone ipad laptop,Mobile,0.291,FinTech,0.288,EdTech,0.278
5470,2GIS,international technology company develop service comfortable life city mission help people live city expensive company russian internet accord forbes main product company city information service bring map navigator business directory monthly active user service cover city country available free mobile application io android,Platforms,0.321,MarTech,0.314,Travel,0.3
5958,352-Medical-Group,local organisation trust healthcare professional clinic hospital provide excellence choice diagnosis education treatment health need mission world class provider healthcare solution put patient forefront aim group preferred choice patient healthcare professional,Healthcare,0.403,Health Tech,0.357,Sharing Economy,0.297
4004,365-Response,response unique software service organisation different create solution directly respond specific challenge collaborate client multiple sector understand detailed requirement identify gap accordingly implement solution response team unique combination fast pace innovative approach establish system unparalleled industry experience proud solution help client achieve improved service level significant cost saving,Platforms,0.428,Productivity,0.393,Sharing Economy,0.323
5635,365Scores,cross platform application enable user create personalized sport channel individual live score news form media channel video highlight statistic fixture standing tweet cover major sport platform available language,Esports,0.517,Media,0.415,Social Networks,0.352
4797,3Box,storage simple secure private design app store data user lighter trustworthy enjoy reduce datum management liability,Cloud Computing,0.495,Data Infrastructure,0.495,Data Storage,0.487
8364,3D-Robotics,make advanced drone technology easily accessible construction mining surveying industry use datum analysis help user land mapping site scan service collect accurate aerial datum jobsite turn urn drone photo map model point cloud provide comprehensive onboarde ongoing support enable client batter informed decision relate construction site found headquartered berkeley california,Defense,0.474,AgTech,0.41,PropTech,0.369
